[LOG] [Mon Oct 17 21:40:46 2022] 日志初始化. 
[LOG] [Mon Oct 17 21:40:46 2022] DX渲染 预先初始化 完成 
[LOG] [Mon Oct 17 21:40:46 2022] 引擎 预初始化 完成. 
[LOG] [Mon Oct 17 21:40:47 2022] 初始化窗口完成. 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[LOG] [Mon Oct 17 21:40:47 2022] DX渲染 初始化 完成 
[LOG] [Mon Oct 17 21:40:47 2022] 引擎 初始化 完成. 
[LOG] [Mon Oct 17 21:40:47 2022] 引擎 拖后初始化 完成. 
[LOG] [Mon Oct 17 21:40:47 2022] DX渲染 拖后初始化 完成 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
[SUCCESS] [Mon Oct 17 21:40:47 2022] Success ! 
