[LOG] [Fri Sep 23 17:22:35 2022] 日志初始化. 
[LOG] [Fri Sep 23 17:22:35 2022] DX渲染 预先初始化 完成 
[LOG] [Fri Sep 23 17:22:35 2022] 引擎 预初始化 完成. 
[LOG] [Fri Sep 23 17:22:36 2022] 初始化窗口完成. 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[LOG] [Fri Sep 23 17:22:36 2022] DX渲染 初始化 完成 
[LOG] [Fri Sep 23 17:22:36 2022] 引擎 初始化 完成. 
[LOG] [Fri Sep 23 17:22:36 2022] 引擎 拖后初始化 完成. 
[LOG] [Fri Sep 23 17:22:36 2022] DX渲染 拖后初始化 完成 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
[SUCCESS] [Fri Sep 23 17:22:36 2022] Success ! 
