[LOG] [Fri Dec 30 15:39:22 2022] 日志初始化. 
[LOG] [Fri Dec 30 15:39:22 2022] DX渲染 预先初始化 完成 
[LOG] [Fri Dec 30 15:39:22 2022] 引擎 预初始化 完成. 
[LOG] [Fri Dec 30 15:39:22 2022] 初始化窗口完成. 
[SUCCESS] [Fri Dec 30 15:39:22 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[LOG] [Fri Dec 30 15:39:23 2022] DX渲染 初始化 完成 
[LOG] [Fri Dec 30 15:39:23 2022] 引擎 初始化 完成. 
[LOG] [Fri Dec 30 15:39:23 2022] 引擎 拖后初始化 完成. 
[LOG] [Fri Dec 30 15:39:23 2022] DX渲染 拖后初始化 完成 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:23 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
[SUCCESS] [Fri Dec 30 15:39:24 2022] Success ! 
